source,raw_score,label
med,0.706875,1
med,0.625698,1
lab,0.652427,1
llm,0.474267,0
llm,0.773078,1
lab,0.476075,0
lab,0.609687,1
lab,0.380621,0
med,0.614676,1
llm,0.445944,0
med,0.652546,1
llm,0.408440,0
lab,0.717051,1
llm,0.634053,0
lab,0.396220,0
regex,0.805711,1
regex,0.559645,0
lab,0.372437,0
regex,0.623317,0
regex,0.800442,1
llm,0.387596,0
llm,0.510924,0
llm,0.681951,1
regex,0.915146,1
med,0.614385,1
regex,0.431475,0
med,0.699935,1
regex,0.908808,1
med,0.377530,0
llm,0.709490,1
llm,0.601413,1
regex,0.804057,1
llm,0.395582,0
med,0.385773,0
lab,0.612502,1
med,0.289788,0
llm,0.710982,1
llm,0.891447,1
llm,0.902324,1
med,0.683573,1
regex,0.735731,1
med,0.397820,0
regex,0.924432,1
lab,0.307109,0
llm,0.737182,1
med,0.426771,0
lab,0.445315,0
regex,0.718598,1
lab,0.346074,0
regex,0.909327,1
llm,0.622334,1
med,0.569415,0
llm,0.739980,1
llm,0.764435,1
med,0.423907,0
med,0.537529,0
regex,0.762262,1
med,0.722919,1
regex,0.439785,0
lab,0.235180,0
regex,0.315316,0
lab,0.756914,1
med,0.503112,0
med,0.425385,0
regex,0.748805,1
lab,0.794313,1
regex,0.845662,1
llm,0.738082,1
llm,0.468401,1
llm,0.830711,1
lab,0.874934,1
llm,0.258224,0
regex,0.830654,1
lab,0.683045,1
lab,0.726474,1
lab,0.277158,0
llm,0.892851,1
regex,0.534781,0
regex,0.724442,1
lab,0.494104,0
regex,0.698414,1
regex,0.468738,0
regex,0.766952,1
med,0.490736,0
lab,0.253107,0
regex,0.691447,1
med,0.339895,0
lab,0.986354,1
med,0.708995,1
regex,0.523898,0
lab,0.775730,1
llm,0.313418,0
lab,0.358595,0
lab,0.325871,0
med,0.479343,0
lab,0.397298,0
lab,0.801850,1
llm,0.412423,0
lab,0.709507,1
med,0.777889,1
lab,0.726215,1
med,0.402240,0
regex,0.753234,1
llm,0.538409,0
regex,0.844184,1
med,0.827729,1
llm,0.511052,0
llm,0.743805,1
llm,0.807300,1
med,0.587103,1
lab,0.564885,1
regex,0.990000,1
llm,0.847256,1
lab,0.733874,1
llm,0.634282,1
regex,0.908691,1
med,0.665875,1
llm,0.534230,0
regex,0.739625,1
lab,0.417184,0
lab,0.736626,1
llm,0.646207,1
med,0.306021,0
med,0.706780,1
lab,0.197079,0
regex,0.839395,1
llm,0.690378,1
llm,0.719277,1
med,0.449696,1
lab,0.267760,0
regex,0.914821,1
llm,0.592684,1
lab,0.573507,1
llm,0.607902,1
llm,0.452176,0
regex,0.224277,0
llm,0.341171,0
llm,0.444874,0
lab,0.542296,0
lab,0.426897,0
lab,0.755459,1
lab,0.267964,0
regex,0.478802,0
llm,0.422751,0
med,0.476244,0
regex,0.717201,1
med,0.463719,0
med,0.711248,1
lab,0.672489,1
llm,0.705541,1
regex,0.559038,0
llm,0.314903,0
llm,0.847084,1
llm,0.539569,1
lab,0.330346,0
regex,0.642557,1
lab,0.850263,1
regex,0.852007,1
lab,0.775144,1
llm,0.631096,1
regex,0.514587,0
llm,0.262735,0
llm,0.405169,0
med,0.584421,0
regex,0.391792,0
llm,0.453249,0
med,0.568197,1
lab,0.745611,1
llm,0.603017,1
lab,0.798640,1
lab,0.674764,1
llm,0.868814,1
lab,0.761146,1
llm,0.439601,0
regex,0.656999,1
regex,0.863392,1
llm,0.590261,0
med,0.746257,1
med,0.705492,1
llm,0.848606,1
med,0.533098,0
lab,0.806397,1
regex,0.313967,0
llm,0.442912,0
med,0.246984,0
lab,0.389451,0
llm,0.714929,1
llm,0.798099,1
med,0.489121,0
lab,0.625110,1
med,0.724469,1
llm,0.422145,0
llm,0.822249,1
med,0.717952,1
med,0.428678,0
llm,0.460786,0
lab,0.633788,0
llm,0.462027,0
regex,0.867672,1
lab,0.990000,1
llm,0.453649,0
lab,0.577352,1
llm,0.476123,0
med,0.371517,0
lab,0.571641,1
med,0.235134,0
lab,0.794261,1
llm,0.747252,1
llm,0.604726,1
llm,0.578067,0
regex,0.764701,1
regex,0.445065,0
med,0.450411,0
llm,0.562306,1
med,0.316176,0
med,0.847675,1
regex,0.808383,1
llm,0.601462,1
lab,0.625801,1
llm,0.553933,1
lab,0.318343,0
med,0.376738,0
regex,0.487733,0
regex,0.891998,1
lab,0.735777,1
llm,0.586873,1
lab,0.812941,1
llm,0.625725,1
llm,0.385276,0
regex,0.590367,1
med,0.657284,1
regex,0.710124,1
llm,0.750022,1
regex,0.374164,0
regex,0.834826,1
lab,0.633906,1
med,0.688718,1
llm,0.590399,1
llm,0.498941,0
llm,0.750576,1
med,0.419980,0
regex,0.919577,1
regex,0.471725,0
regex,0.734261,1
llm,0.772469,1
lab,0.366220,0
regex,0.851973,1
regex,0.441229,0
regex,0.381764,0
lab,0.355521,0
llm,0.749142,1
regex,0.728099,1
regex,0.720669,1
med,0.671975,1
llm,0.421954,0
lab,0.875263,1
regex,0.732272,1
regex,0.417166,0
regex,0.697418,1
med,0.646585,1
regex,0.425734,0
llm,0.584957,1
llm,0.738026,1
regex,0.831471,1
lab,0.740396,1
lab,0.474003,1
llm,0.503431,0
med,0.490412,0
lab,0.634777,1
med,0.769552,1
regex,0.714789,1
lab,0.912276,1
med,0.656873,1
regex,0.756772,1
llm,0.791007,1
llm,0.847947,1
med,0.760423,1
lab,0.627968,1
llm,0.770613,1
lab,0.777095,1
llm,0.503525,0
med,0.763228,1
lab,0.599033,0
lab,0.833649,1
lab,0.731488,1
llm,0.588998,1
med,0.587642,1
llm,0.454881,0
llm,0.267227,0
lab,0.871638,1
regex,0.765127,1
lab,0.532339,0
llm,0.771837,1
lab,0.494712,1
regex,0.492030,0
llm,0.466914,0
med,0.299182,0
lab,0.723607,1
lab,0.783271,1
lab,0.353078,0
llm,0.526617,0
med,0.686436,1
llm,0.388858,1
lab,0.448970,0
lab,0.795309,1
med,0.640316,1
lab,0.620844,1
lab,0.696094,1
llm,0.622449,0
lab,0.610409,1
lab,0.473593,0
med,0.729732,1
med,0.708326,1
llm,0.570570,1
lab,0.450022,0
med,0.767237,1
lab,0.804921,1
regex,0.514722,0
regex,0.417282,0
llm,0.707110,0
llm,0.990000,1
llm,0.547685,0
lab,0.587924,0
llm,0.806761,1
llm,0.349005,0
llm,0.775105,1
med,0.461256,0
regex,0.713618,1
lab,0.307812,0
llm,0.905812,1
lab,0.246944,0
med,0.356567,0
llm,0.604262,1
lab,0.729092,1
lab,0.258293,0
lab,0.813979,1
med,0.341931,0
llm,0.412456,0
llm,0.557656,1
llm,0.773623,0
lab,0.369232,0
regex,0.721703,1
lab,0.345259,1
llm,0.768132,1
regex,0.796965,1
med,0.389978,1
llm,0.340074,0
med,0.565126,0
llm,0.753295,1
med,0.916053,1
lab,0.739144,1
llm,0.818456,1
llm,0.520737,0
med,0.666429,1
lab,0.930658,1
med,0.576084,1
regex,0.708681,1
med,0.411653,0
regex,0.777835,1
med,0.326875,0
llm,0.717597,1
lab,0.632028,1
regex,0.941841,1
med,0.604861,1
regex,0.825505,1
llm,0.825625,1
