# CMS-HCC V28 — Community Non-Dual Aged (CNA) coefficients, Payment Year 2026
# Source: CMS CY2026 Medicare Advantage and Part D Final Rate Announcement,
#   Table VI-2 "Relative Factors for Community and Institutional Beneficiaries
#   under the 2024 CMS-HCC Model (Version 28)" — Community, Non-Dual Aged column.
# Source URL: https://www.cms.gov/files/document/2026-announcement.pdf
# CMS landing page: https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment
# Published: April 2025
# Transcribed: 2026-04-21 (independent of hccinfhir library) — anchor subset.
# Column semantics:
#   kind      — "hcc" (disease factor) or "demo" (age/sex factor)
#   key       — HCC number (kind=hcc) OR demographic key like "F65_69" (kind=demo)
#   value     — CMS-published coefficient, pre-normalization, pre-MACI.
#   label     — free-text CMS description (informational only, not checked).
kind,key,value,label
hcc,17,4.209,"Cancer Metastatic to Lung, Liver, Brain, and Other Organs; Acute Myeloid Leukemia Except Promyelocytic"
hcc,18,2.341,"Cancer Metastatic to Bone, Other and Unspecified Metastatic Cancer; Acute Leukemia Except Myeloid"
hcc,19,1.798,"Myelodysplastic Syndromes, Multiple Myeloma, and Other Cancers"
hcc,37,0.166,"Diabetes with Chronic Complications"
hcc,38,0.166,"Diabetes with Glycemic, Unspecified, or No Complications"
hcc,48,0.186,"Morbid Obesity"
hcc,49,9.256,"Specified Lysosomal Storage Disorders"
hcc,50,0.648,"Amyloidosis, Porphyria, and Other Specified Metabolic Disorders"
hcc,51,0.510,"Addisons and Cushings Diseases, Acromegaly, and Other Specified Endocrine Disorders"
hcc,111,4.639,"Hemophilia, Male"
hcc,112,0.450,"Immune Thrombocytopenia and Specified Coagulation Defects and Hemorrhagic Conditions"
hcc,114,2.262,"Common Variable and Combined Immunodeficiencies"
hcc,115,0.565,"Severe Hematologic Disorders"
hcc,191,0.855,"Quadriplegic Cerebral Palsy"
hcc,222,2.505,"End-Stage Heart Failure"
hcc,223,2.505,"Heart Failure with Heart Assist Device/Artificial Heart"
demo,F65_69,0.330,"Community Non-Dual Aged Female 65-69"
demo,F70_74,0.395,"Community Non-Dual Aged Female 70-74"
demo,F75_79,0.465,"Community Non-Dual Aged Female 75-79"
demo,F80_84,0.524,"Community Non-Dual Aged Female 80-84"
demo,M65_69,0.332,"Community Non-Dual Aged Male 65-69"
demo,M70_74,0.396,"Community Non-Dual Aged Male 70-74"
