# CMS-HCC V28 — Disease hierarchy ("trumping") rules
# Source: CMS 2024 CMS-HCC Model Software (V28) User Guide, Appendix —
#   "HCC Hierarchy".  Each row is one (parent, child) pair meaning:
#   "if HCC=parent is present, HCC=child must be suppressed."
# Source URL: https://www.cms.gov/medicare/payment/medicare-advantage-rates-statistics/risk-adjustment
#   (select "2024 CMS-HCC Model Software"; ZIP includes V28_Y25V0_<hash>.pdf user guide)
# Cross-referenced against the CMS CY2026 Final Rate Announcement, section VI.
# Transcribed: 2026-04-21 (independent of hccinfhir library).
#
# Column semantics:
#   hcc_parent  — the more-severe HCC whose presence suppresses the child
#   hcc_child   — the less-severe HCC that is dropped when the parent is present
hcc_parent,hcc_child
17,18
17,19
17,20
17,21
17,22
17,23
18,19
18,20
18,21
18,22
18,23
19,20
19,21
19,22
19,23
20,21
20,22
20,23
21,22
21,23
22,23
35,36
35,37
35,38
36,37
36,38
37,38
62,63
62,64
62,65
62,68
63,64
63,65
63,68
63,202
64,65
64,68
77,78
77,80
77,81
80,81
93,94
107,108
111,112
114,115
125,126
125,127
126,127
135,136
135,137
135,138
135,139
136,137
136,138
136,139
137,138
137,139
138,139
151,152
151,153
151,154
151,155
152,153
152,154
152,155
153,154
153,155
154,155
180,181
180,182
180,253
180,254
181,182
181,254
191,180
191,181
191,182
191,192
191,253
191,254
195,196
211,212
211,213
212,213
221,222
221,223
221,224
221,225
221,226
221,227
223,224
223,225
223,226
223,227
224,225
224,226
224,227
225,226
225,227
226,227
228,229
248,249
253,254
263,264
263,383
263,409
276,277
276,278
276,279
276,280
277,278
277,279
277,280
278,279
278,280
279,280
282,283
326,327
326,328
326,329
327,328
327,329
328,329
379,380
379,381
379,382
379,383
380,381
380,382
380,383
381,382
381,383
382,383
397,202
397,398
397,399
398,202
398,399
405,409
